left	top	right	bottom	Confidence	object	tleft	ttop	tright	tbottom
tensor([[0.00000e+00	1.79E+02	2.60E+02	1.01E+03	8.96E-01	 0.00000e+00]				
        [2.84690e+02	2.52E+02	6.84E+02	1.04E+03	8.05E-01	 0.00000e+00]				
        [2.10234e+02	5.74E+02	3.00E+02	6.53E+02	3.44E-01	 2.00000e+00]				
        [5.77943e+02	4.27E+02	7.18E+02	5.94E+02	3.23E-01	 2.00000e+00]])				
tensor([[0.00000e+00	1.79E+02	2.56E+02	1.00E+03	8.94E-01	 0.00000e+00]				
        [2.62600e+02	2.62E+02	6.90E+02	1.02E+03	8.55E-01	 0.00000e+00]])				
tensor([[0.00000e+00	1.86E+02	2.61E+02	1.00E+03	9.00E-01	 0.00000e+00]				
        [2.14981e+02	2.47E+02	7.15E+02	1.05E+03	8.71E-01	 0.00000e+00]])				
tensor([[0.00000e+00	1.81E+02	2.67E+02	1.00E+03	8.88E-01	 0.00000e+00]				
        [1.88748e+02	2.45E+02	7.20E+02	1.06E+03	8.74E-01	 0.00000e+00]])				
tensor([[0.00000e+00	1.70E+02	2.62E+02	1.01E+03	8.70E-01	 0.00000e+00]				
        [1.47677e+02	2.36E+02	7.20E+02	1.07E+03	7.10E-01	 0.00000e+00]])				
tensor([[0.00000e+00	1.71E+02	2.62E+02	1.01E+03	8.69E-01	 0.00000e+00]				
        [1.47535e+02	2.35E+02	7.20E+02	1.07E+03	6.97E-01	 0.00000e+00]				
        [5.67949e+02	4.70E+02	7.16E+02	5.94E+02	2.72E-01	 2.00000e+00]])				
tensor([[0.00000e+00	1.72E+02	2.62E+02	1.01E+03	8.66E-01	 0.00000e+00]				
        [1.28697e+02	2.43E+02	7.15E+02	1.07E+03	6.57E-01	 0.00000e+00]				
        [5.66960e+02	4.92E+02	7.15E+02	5.92E+02	2.59E-01	 2.00000e+00]])				
tensor([[0.00000e+00	1.73E+02	2.61E+02	1.01E+03	8.70E-01	 0.00000e+00]				
        [1.03227e+02	2.71E+02	7.16E+02	1.08E+03	8.28E-01	 0.00000e+00]				
        [5.60962e+02	4.63E+02	7.17E+02	5.91E+02	2.66E-01	 2.00000e+00]])				
tensor([[0.00000e+00	1.82E+02	2.72E+02	1.00E+03	8.86E-01	 0.00000e+00]				
        [1.38633e+02	2.90E+02	7.20E+02	1.08E+03	8.01E-01	 0.00000e+00]				
        [5.71454e+02	4.79E+02	7.15E+02	5.91E+02	4.39E-01	 2.00000e+00]])				
tensor([[0.00000e+00	1.82E+02	2.66E+02	1.00E+03	9.02E-01	 0.00000e+00]				
        [1.69915e+02	3.30E+02	7.09E+02	1.09E+03	7.06E-01	 0.00000e+00]])				
