	left	top	right	bottom	Confidence	object	tleft	ttop	tright	tbottom
35	tensor([[8.56412e+01	6.03E+01	2.61E+02	3.60E+02	7.87E-01	 0.00000e+00]				
	        [4.23759e+02	7.03E+01	4.69E+02	1.92E+02	6.77E-01	 0.00000e+00]				
	        [2.70601e+02	6.50E+01	3.82E+02	2.72E+02	3.03E-01	 7.20000e+01]])				
36	tensor([[423.27417	69.18311	470.22284	192.6922	0.68044	   0.00000]				
	        [163.18344	79.04291	262.87659	360	0.61767	   0.00000]])				
37	tensor([[161.93651	81.88921	260.97046	360	0.70159	   0.00000]				
	        [423.22372	74.08182	466.28397	191.45709	0.6311	   0.00000]])				
38	tensor([[161.53976	82.75647	260.70255	360	0.76325	   0.00000]				
	        [422.43460	68.58922	470.88046	191.3119	0.75403	   0.00000]])				
39	tensor([[160.87907	83.25822	257.60605	360	0.84027	   0.00000]				
	        [422.11700	67.32509	469.23016	190.94957	0.78637	   0.00000]])				
40	tensor([[422.04550	66.30519	467.66769	190.00966	0.80274	   0.00000]				
	        [160.19235	78.83229	257.20908	360	0.7949	   0.00000]])				
41	tensor([[160.75891	75.05923	257.90546	360	0.81093	   0.00000]				
	        [421.75330	66.50505	468.13251	188.52187	0.75594	   0.00000]])				
42	tensor([[4.20552e+02	6.52E+01	4.67E+02	1.87E+02	7.32E-01	 0.00000e+00]				
	        [1.59734e+02	7.51E+01	2.57E+02	3.60E+02	6.96E-01	 0.00000e+00]				
	        [3.08796e+02	2.04E+02	3.30E+02	2.30E+02	2.83E-01	 4.10000e+01]])				
43	tensor([[150.24753	75.68475	256.76987	359.14368	0.69748	   0.00000]				
	        [420.36740	68.58244	465.18552	187.03645	0.64786	   0.00000]])				
44	tensor([[ 67.28722	53.56497	257.26212	356.84399	0.76458	   0.00000]				
	        [419.78763	65.28848	466.08835	186.20898	0.6915	   0.00000]])				
